ID,Varenavn,Produsent,ATC Kode
ID_348C2AE3-97E5-4C6E-A0C7-C107B2057BD4,Spironolakton SA mikst 5 mg/ml,Sykehusapotekene HF,C03DA01
ID_34928019-1081-4071-BDD9-20280C569091,"Alphagan øyedr, oppl 2 mg/ml",AbbVie AS,S01EA05
ID_34993A9F-1C2F-4808-80F6-23E63BB64B45,"Xiaflex pulv+væske til inj oppl 0,9 mg",Auxilium,M09AB02
ID_34A49CDA-9912-435C-BF57-40AED3D20FF4,Soluprick SQ Bigift oppl til prikktest 300 mikrog/ml,ALK-Abelló,V04CL
ID_34A8BD5A-8D95-49E9-85AE-3DC8F29775B5,Evoxac kaps 30 mg,Daiichi Sankyo,N07AX03
ID_34B040AE-7C75-46B6-B601-667D2C4EBA67,"Aclasta inf, oppl 5 mg/100 ml",2care4 ApS,M05BA08
ID_34BD01CE-81F6-42EC-A649-A81894B8E9C1,Nootropil tab 1200 mg,Orifarm AS,N06BX03
ID_34D61890-0D55-450B-8AC1-1EC9B9D9DB60,"Bemfola inj, oppl 225 IE/penn",Orifarm AS,G03GA05
ID_34EC1EC4-7194-49A9-9017-24246DC13589,"KA-Vit dråper, emul 20 mg/ml",InfectoPharm Arzneimittel und Consilium GmbH,B02BA01
ID_34ECA751-43B7-4594-B7D4-BBC51AB3B4DD,Ebixa tab 20 mg,Orifarm AS,N06DX01
ID_350317F4-F4C7-40E9-B747-23032433D65F,Aduvanz kaps 30 mg,2care4 ApS,N06BA12
ID_35078062-421D-46C1-9031-C4039704B1D5,"Diprosalic salve 0,5 mg/g/30 mg/g",N.V. Organon - Kloosterstraat,D07XC01
ID_35180E33-135C-4D10-820E-3698A29C0095,Ideos tyggetab 500 mg/400 IE,Laboratoire Innotech,A12AX
ID_35188195-82E5-4EF9-A643-A8C8D4328530,"DuoTrav øyedr, oppl 40 mikrog/ml/5 mg/ml",Novartis Europharm Limited,S01ED51
ID_3519C1FC-A29C-4BDE-A258-B833962654FD,"Sifrol depottab 2,1 mg",Abacus Medicine A/S,N04BC05
ID_35229EA2-960A-42EB-AF53-7E4BF4F57DF0,Rilutek tab 50 mg,Sanofi Winthrop Industrie,N07XX02
ID_353052D4-7FDE-4C20-A05A-932E73438E7F,Furosemid tab 40 mg,Orion Corporation Orion Pharma,C03CA01
ID_3530841A-025D-4F0F-A50D-EE3EC4BAD52F,"Zaditen øyedr, oppl 0,25 mg/ml",2care4 ApS,S01GX08
ID_35363236-CA1C-4DC8-A3A7-7F9BCBA64E5A,Paclitaxel Fresenius Kabi kons til inf oppl 6 mg/ml,Fresenius Kabi Norge AS,L01CD01
ID_354190CB-C738-468F-9A50-CD2B0B86253C,Zyprexa tab 10 mg,Orifarm AS,N05AH03
ID_3545564A-08A4-47A3-ACDC-54134604F026,Epivir tab 150 mg,ViiV Healthcare BV (1),J05AF05
ID_35530DCC-54B0-40D7-9BBB-CF7FC7EA5870,Clopidogrel Zentiva tab 75 mg,Zentiva k.s.,B01AC04
ID_3553F70B-6E45-4AAC-965E-0F5E7DE141B8,Zenon tab 40 mg/10 mg,SANOFI-AVENTIS NORGE AS,C10BA06
ID_35558C5D-CDBF-4A75-A3FF-506B727CE1F3,Oviderm krem 250 mg/g,Galenica AB,D02AX
ID_3560A451-C780-4033-A7DD-F9E6D82EA980,"Humira inj, oppl 20 mg/sprøyte",AbbVie Deutschland GmbH & Co,L04AB04
ID_356458C0-BD5E-40C0-85F2-D16F7074D428,Obizur pulv+væske til inj oppl 500 E,Baxalta Innovations GmbH,B02BD14
ID_356DFC9A-B9C4-4BCD-A01F-78DDA5D513DC,Vimpat tab 150 mg,UCB Pharma S.A.,N03AX18
ID_356ECDFB-4531-44E5-A68F-A41F73EF900B,Kerendia tab 10 mg,Bayer AG,C03DA05
ID_356FE72D-6C4A-45C3-BDF6-5F83B84248FC,Kodimagnyl Ikke-stoppende dak tab,Orifarm Healthcare A/S,N02AJ07
ID_3571DA33-C651-4611-97BA-4145130B8C02,Sandostatin LAR pulv+væske til inj susp 20 mg,Novartis Norge (2),H01CB02
ID_35762227-B4D4-4DA2-97D8-1CB59F02DE0D,Estradot depotplaster 100 mikrog/24 timer,Sandoz A/S,G03CA03
ID_357A16E1-478E-423C-89E7-00C2F511368A,Nadolol tab 20 mg,Mylan (2),C07AA12
ID_358A0536-BF53-4728-81B9-1079E6A713D9,Fasigyne tab 500 mg,Teofarma,P01AB02
ID_3592DAD6-8283-4371-9AC1-5817EFFC3E78,Bezalip Retard depottab 400 mg,Aurobindo Pharma,C10AB02
ID_35A3F1F3-4F09-434C-BFA1-07A36FD5BB95,Jakavi tab 5 mg,Novartis Europharm Limited (1),L01EJ01
ID_35A9A21B-122E-4C35-8DC1-9B948417B5CB,Theo-Dur depottab 300 mg,Karo Pharma AB (1),R03DA04
ID_35AD26A4-C285-4846-A75A-7956FCAA8A36,Hirudoid salve 3 mg/g,Stada Arzneimittel AG,C05BA01
ID_35B45AB6-F48C-484D-AD25-A922484B5698,"Madopar 12,5/50 kaps 12,5 mg/50 mg",Roche Norge AS,N04BA02
ID_35B4BE65-A51F-47DF-BA5B-CAA2BDA35D7B,"Abboticin granulat til mikst, susp 40 mg/ml",Amdipharm Limited,J01FA01
ID_35B87509-592E-40B8-B42E-535F558AEA8E,"Fragmin inj, oppl 12 500 IE/sprøyte",Pfizer AS,B01AB04
ID_35BE5753-5360-4FBC-8849-0EF0CF1098FA,"Bediol urtete 6,3 %/8 %",Bureau voor Medicinale Cannabis,N02BG10
ID_35D0B5BB-9A60-4228-A0AB-92A537C29E98,"Kadcyla pulv til kons til inf væske, oppl 100 mg",Roche Registration GmbH,L01FD03
ID_35D8DBF9-79B4-42B8-B4D9-3B91E5399931,"Femoston mini tab 0,5 mg/2,5 mg",Viatris,G03FA14
ID_35DC4FCA-1E67-45FD-B408-56E450F3C559,"Metex inj, oppl 20 mg/sprøyte","Medac Gesellschaft für klinische Spezialpräparate mbH, Hamburg",L04AX03
ID_35E66334-21BA-492C-9CF1-2AF87BF11203,"Isoprenalina cloridrato monico inj, oppl 0,2 mg/ml",Monico,C01CA02
ID_35EA5C71-C23E-4854-8D02-6F8B8A108AC6,Niferex enterokaps 100 mg,UCB Pharma GmbH,B03AA01
ID_35ED6B6E-42B3-4753-A2CD-C63A2983418E,"Sirolimus apotheke roter ochsen krem 0,5 %",Apotheke Roter Ochsen,L01EG04
ID_360EE0DB-CF55-46D0-BF08-DB30D4547557,"Tractocile inj, oppl 6,75 mg/0,9 ml",Ferring Pharmaceuticals A/S,G02CX01
ID_36207900-3335-4431-A4CF-646F0D825163,Aureomycin salve 3 %,UCB,D06AA02
ID_3624E652-008F-4F62-A36B-DEAB60003D95,Lenalidomide Grindeks kaps 5 mg,Grindeks AS,L04AX04
ID_362A2D5A-FB4F-42FB-950A-EDAD2AFDE603,Viagra tab 25 mg,Upjohn EESV,G04BE03
ID_362A804C-55E7-4A8C-94C3-243ADB40AB2B,"Fetcroja pulv til kons til inf væske, oppl 1 g",Shionogi B.V.,J01DI04
ID_36372616-522A-4342-B832-84C3861AE563,"Balance 2,3% glukose + 1,25 mmol Ca/l peritonealdialysevæske",Fresenius Medical Care Deutschland GmbH,B05DB
ID_363DCD02-6C2A-45B6-91B8-EBBFC5EBAEDB,Glucosamin Pharma Nord kaps 400 mg,Pharma Nord ApS Produktion,M01AX05
ID_3640F737-BB25-4F74-99FE-79DD351D84ED,Surmontil tab 10 mg,Neuraxpharm Sweden AB,N06AA06
ID_3644447A-7710-4EE0-8888-7A760AC0E370,"Vamin 18 g N/L Elektrolyttfri inf, oppl",Fresenius Kabi Norge AS,B05BA01
ID_3648049D-FF7C-405A-A439-0D36609D54ED,"Bupivacain mit Epinephrin jenapharm inj, oppl 0,5 % w/v/0,0005 % w/v",Mibe,N01BB51
ID_364A8270-9A97-4091-AD49-859565D232EE,"Enjaymo inf, oppl 50 mg/ml",Sanofi B.V.,L04AJ04
ID_365A8637-3B51-4E7F-A348-5DFF43CE7019,"Exelon kaps 1,5 mg",2care4 ApS,N06DA03
ID_365C7763-848D-4837-9EE4-FFD8561D0171,"Primaquine phosphate sanofi tab 26,3 mg",Sanofi-Synthelabo,P01BA03
ID_365FA4BD-8AE7-468A-B026-D1C10CB2109B,Natriumklorid B. Braun kons til inf oppl 1 mmol/ml,B. Braun Melsungen AG,B05XA03
ID_36643B56-4718-4FBD-BFD8-6DDB42276899,Epistatus munnvann oppl 10 mg/ml,Special Products Ltd,N05CD08
ID_366ADD8F-1B76-461A-A6AC-2D876E19462D,Furadantin tab 50 mg,Viatris AS,J01XE01
ID_367CCE0C-E796-4735-BEB1-0F3606FC22ED,Neurontin kaps 400 mg,Upjohn EESV,N02BF01
ID_368A5EE0-3536-487A-8C5E-CA6B30690DD0,Champix tab 1 mg,Pfizer Europe MA EEIG (1),N07BA03
ID_3691753C-7149-4980-B64A-94FDE8D50574,Sinemet 25/100 tab 25 mg/100 mg,N.V. Organon - Kloosterstraat,N04BA02
ID_36995506-DF8D-4AC0-AF95-47CC71F2E354,"Rigabalsam og honning NAF mikst susp 0,3 mg/g/6 mg/g/460 mg/g",Ås produksjonslab AS,R05CA10
ID_369ED04E-C474-4CAA-AC0C-B2E5FEF2209A,Sitagliptin Sandoz tab 25 mg,Sandoz - København,A10BH01
ID_36A03E84-3909-48D4-AC5A-D8D1E5384F63,Flecainid Sandoz tab 100 mg,Sandoz - København,C01BC04
ID_36A55025-D6B1-43DC-87DD-6556EADC2C96,"Marevan tab 2,5 mg",Orifarm Healthcare A/S,B01AA03
ID_36B01AFA-2151-4789-B38C-1EA6891228E6,Gabitril tab 10 mg,Cephalon UK Limited,N03AG06
ID_36C43B56-9C4F-4BB4-A4BE-98227B4EBA4D,"Seretide inh aerosol, susp 25 mikrog/250 mikrog",GlaxoSmithKline AS,R03AK06
ID_36C6ADCD-A085-456C-9CD0-C9C2D94EA452,Nuwiq pulv+væske til inj oppl 250 IE,Octapharma AB,B02BD02
ID_36C8701C-D952-4686-B12F-AAE534E1195E,Adalat XL depottab 30 mg,Bayer,C08CA05
ID_36CBBCAE-9334-42DD-A9CB-A3941355F342,Rukobia depottab 600 mg,ViiV Healthcare BV,J05AX29
ID_36D52DAE-11B4-44CB-9911-EB4069C488F9,Dråpe vegansk jod dråper 45 mikrog/dråpe,Pharma Helse AS,
ID_36D6E90F-342C-499A-8AAC-6F3316430DB2,Glucophage tab 500 mg,Merck Santé s.a.s.,A10BA02
ID_36E2E6B7-0BEF-43E3-B722-A63030A4C1AC,Digoxin Orifarm tab 250 mikrog,Orifarm Healthcare A/S,C01AA05
ID_36E4C561-D695-4AA5-B858-80E9C6D724A8,"Mekinist tab 0,5 mg",Novartis Europharm Limited (1),L01EE01
ID_36F19432-9071-454A-B771-399857BA5567,Ameluz gel 78 mg/g,Biofrontera Bioscience,L01XD04
ID_36F2390E-60A1-47A9-963C-E4DDA91D340B,"Trevicta depotinj væske, susp 350 mg/sprøyte",Janssen-Cilag International N.V.,N05AX13
ID_36F60A3D-D15E-4223-8F36-4786CC5B0C7C,Noradrenalin Abcur kons til inf oppl 1 mg/ml,Abcur AB,C01CA03
ID_36F9BABC-1D40-434D-96FD-F7EB248E1BEF,"Lederlon inj væske, susp 20 mg/ml",Riemser Pharma GmbH,H02AB08
ID_36FC0333-BAC0-4B72-8B47-97937E16B11B,Acetylsalisylsyre SA stikkpille 125 mg,"Sykehusapoteket Oslo, Ullevål",N02BA01
ID_370FB723-54FC-4585-BA90-43F2AB529A1C,"Ketanest inj/inf, oppl 25 mg/ml",PFIZER AS,N01AX14
ID_3712395C-7337-4B31-8A94-6405F34D0BA3,"Sugammadex Bioglan inj, oppl 100 mg/ml",Bioglan AB,V03AB35
ID_37180237-C4DA-4B39-88DD-D06B626C4248,Tolvaptan Teva B.V. tab 45 mg,Teva B.V.,C03XA01
ID_37190ED5-C1BF-493D-89D4-EF0ABB9B18EB,Metoclopramide Orifarm tab 10 mg,Orifarm Generics A/S,A03FA01
ID_371BA4CA-AECC-4003-A168-583004B9E05A,"Pegasys inj, oppl 135 mikrog/sprøyte",pharmaand GmbH,L03AB11
ID_3720C695-2990-463B-AD0B-F49431C56AEF,Alpha lipoic acid pure encaps kaps 200 mg,Pure encapsulations,A16AX01
ID_37272FD1-E380-4C3E-AA22-5C734B081C0C,Saphnelo kons til inf oppl 300 mg,AstraZeneca AB (2),L04AG11
ID_373365E6-D5B4-416E-ABAF-250F6E8E442C,Allopur tab 300 mg,Orifarm Healthcare A/S,M04AA01
ID_37472F43-7448-49E0-BE5B-34151802D415,Levopidon mikst oppl 25 mg,dne pharma,N07BC05
ID_37475ABB-57B0-4763-9853-9838735609F1,Mavenclad tab 10 mg,Merck Europe B.V.,L04AA40
ID_374E8382-7E30-4101-BD55-4C1401F8CEE5,Orkambi tab 200 mg/125 mg,Vertex Pharmaceuticals (Ireland) Limited,R07AX30
ID_3751BE51-1F0D-48C1-B38B-0568F4F49442,Nitrazepam dak tab 5 mg,Orifarm Generics A/S,N05CD02
ID_37523604-C757-45FF-AA41-62FE56C3C561,Fosrenol tyggetab 500 mg,Takeda Pharmaceuticals International AG Ireland Branch,V03AE03
ID_375ABBA9-96DE-4E1A-B5E7-7A1474956B47,"Ganirelix Orifarm inj, oppl 0,25 mg/0,5 ml",Orifarm Generics A/S,H01CC01
ID_376BA229-FEFF-4EA5-94D8-D78A1609ED1E,Xifaxan tab 200 mg,Norgine,A07AA11
ID_37727113-38DC-4A69-93A1-CC10F0B0ECFD,Karbamid Evolan krem 50 mg/g,Evolan Pharma AB,D02AE01
ID_377A3DC0-32CD-4508-8515-2DF464A37F97,"Paveron N inj, oppl 25 mg/ml",Linden,A03AD01
ID_37878C1B-678A-4D6B-A04D-16FFD2FE7CBC,"Pro-Ven fit for school lab4 melkesyrebak tyggetab 50 mg/12,5 10E9 bakterier",ProVen probiotics,
ID_378AC343-F3F9-4852-8A84-9DF161801A5B,Selo-Zok depottab 200 mg,RECORDATI Ireland Limited,C07AB02
ID_378B8773-1785-43EB-A93F-95A871E9AB61,"Zomig Rapimelt smeltetab 2,5 mg",Orifarm AS,N02CC03
ID_378BB632-722B-4EC0-B382-C31D2922D951,Metadon dne mikst oppl 30 mg/flaske,dne pharma,N07BC02
ID_378EDE3D-D723-4831-B7BD-75269CDE5A60,Indometacine aurobindo kaps 50 mg,Aurobindo Pharma,M01AB01
ID_378F8B18-3F31-439A-ADD9-5B0371A0BF61,Naltrexon accord tab 50 mg,Accord Healthcare B.V.,N07BB04
ID_379041DC-1650-4A23-A394-7B1A6097A47E,Cipralex tab 10 mg,H. Lundbeck A/S,N06AB10
ID_37957426-0775-4A9F-A694-A94952A63331,"Dociton retard depotkaps, hard 160 mg",Mibe,C07AA05
ID_3799E324-9CA6-4D4F-836A-04C989CDAFB6,Kyprolis pulv til inf væske oppl 10 mg,Amgen Europe B.V.,L01XG02
ID_379C7D85-1C1B-4A8F-822A-6CE4963BA543,Vesicare mikst susp 1 mg/ml,Astellas Pharma - Kastrup,G04BD08
ID_37A2FA97-C248-41C5-89C1-EAA73A2A7556,Skinoren krem 20 %,LEO Pharma,D10AX03
ID_37BB7C7D-8C34-4522-956C-A098C63B019C,Levomepromazine orion tab 5 mg,Orion,N05AA02
ID_37C68318-E7FB-45FE-8482-C01558562307,"Vidi dental fluor tab med ferskensmak 0,5 mg",Innopharma s.r.o,
ID_37F1CCAB-61A0-4E00-B93F-6EB7A8A923F5,"Imukin inj, oppl 0,1 mg/0,5 ml",Clinigen,L03AB03
ID_38010FA8-BA17-4663-B838-594D21BADFD9,"Vitamin B1-Injektopas inj, oppl 25 mg/ml",Pascoe,A11DA01
ID_380A05AF-6821-4EEC-90FE-4D9BCE9361A1,Afipran tab 10 mg,Orifarm Healthcare A/S,A03FA01
ID_380E711E-7412-4526-A778-4FD3CFE94C10,Relpax tab 40 mg,Upjohn EESV,N02CC06
ID_380EFBD9-57FA-491E-822E-5E37C443B046,Sirdalud tab 4 mg,Novartis (2),M03BX02
ID_380F31FA-1E04-44BA-9514-8344B6D95D18,"Petidin inj, oppl 50 mg/ml",Takeda AS,N02AB02
ID_3816A2F6-9AFA-4547-B339-A8EA36651248,Estalis depotplaster 50 mikrog/24 timer/250 mikrog/24 timer,Sandoz A/S,G03FA01
ID_38188ADE-687A-412C-B646-B2E068CC4342,Naproxen Orion tab 250 mg,Aurobindo Pharma (Malta) Limited - Floriana,M01AE02
ID_381F77B8-ED6A-4DDD-9F16-EB268DF213E4,Sunitinib Newbury kaps 25 mg,Newbury Pharmaceuticals AB,L01EX01
ID_38217CC4-DE0D-46E7-9A6F-BAD422727FCC,Montelukast Teva tab 10 mg,Teva Sweden AB,R03DC03
ID_38218F38-B246-4585-A073-62E2916A8275,"Estring vag innlegg 7,5 mikrog/24 timer",Paranova Danmark,G03CA03
ID_38311B49-97D5-4EED-B78E-3D6A35F2FA5D,Sotalol Viatris tab 40 mg,Viatris Limited,C07AA07
ID_383BE0DA-40BA-4A88-9057-DD9A7C396A6A,"Empliciti pulv til kons til inf væske, oppl 400 mg",Bristol-Myers Squibb Pharma EEIG,L01FX08
ID_384AD653-C93E-42BC-8DE6-0E9AA378C871,Cyclizine hydrochloride morningside tab 50 mg,Morningside Healthcare,R06AE03
ID_384CC380-A36D-47D3-8E12-3DF3D9B5E971,"Tramadol-ratiopharm dråper, oppl 100 mg/ml",Ratiopharm,N02AX02
ID_38516194-D550-4429-8B79-6113D5F01370,"Ciproxin granulat+væske til mikst, susp 250 mg/5 ml",Bayer,J01MA02
ID_3855AE3B-F383-459F-A275-66FC74E78B34,"Yondelis pulv til kons til inf væske, oppl 0,25 mg",Pharma MAr S.A.,L01CX01
ID_385DAA2E-908E-494E-B888-63C597A45664,"Detrusitol SR depotkaps, hard 2 mg",Upjohn EESV,G04BD07
ID_38604B7A-4048-4DD8-8913-BAA23623B1B5,Suboxone sublingvaltab 8 mg/2 mg,Indivior Europe Limited,N07BC51
ID_386591D5-A28C-488C-8DF4-24715154DAA5,Anastrozol Medical Valley tab 1 mg,Medical Valley Invest AB,L02BG03
ID_38723DDC-C56A-4341-98F1-E2DF6DD9C899,Prednisolon SA stikkpille 20 mg,Sykehusapotekene HF,H02AB06
ID_387EAD04-10EA-4059-85E9-198C0BA342B3,Methylprednisolone Orion tab 4 mg,"Orion Corporation Orion Pharma, Espoo",H02AB04
ID_3895DA58-2F73-48BA-B325-6B3000FF18E5,Diclo 1a pharma enterotab 25 mg,1 A Pharma,M01AB05
ID_38A04D2C-D2A1-4807-AF33-DE62376A534D,Nuwiq pulv+væske til inj oppl 500 IE,Octapharma AB,B02BD02
ID_38B0673F-E25F-4ABE-83E2-BCEB2E8AA029,Vitaminbjørner eple&pære tyggetab,Orkla Health Norge AS,
ID_38B26846-84CD-42B3-9FD5-61881494736E,Ibrance tab 100 mg,Pfizer Europe MA EEIG (1),L01EF01
ID_38C149AC-C2A3-4131-B40B-AFFC54345221,Cinacalcet STADA tab 30 mg,Stada Arzneimittel AG,H05BX01
ID_38DAAD02-6AEA-4BCA-858C-F5F5A3C074C2,Asacol tab modif frisetting 1600 mg,Tillotts Pharma AB (2),A07EC02
ID_38DC1B46-4873-409C-A54E-3D06E46F0347,Oksybuprokain SA liniment 5 mg/ml,"Sykehusapoteket Oslo, Rikshospitalet",N01BA
ID_38E32F9A-A698-47B3-BB1E-96ECFEC692AF,Lamictal tyggetab/disperg tab 200 mg,GlaxoSmithKline AS,N03AX09
ID_38EB1CBE-847F-4F3D-9A9F-D1CC9D866A0B,Uloric tab 40 mg,Takeda,M04AA03
ID_38ED25E5-44A6-45CE-8DF0-DE60BF32FB64,"Staloral 5-gress sublingvalspray, oppl",Stallergenes GmbH,V01AA02
ID_38F82BAF-DFDC-4E63-9500-6F4DB42CCAAA,"Staloral timotei start sublingvalspray, oppl 10 RI/ml",Stallergenes,V01AA02
ID_38F8AD89-45AB-4C47-A0ED-B58BA30D82E2,Lenalidomid Zentiva kaps 15 mg,Zentiva k.s.,L04AX04
ID_38FDE548-4A59-4D44-BC5C-2A479415EF02,Neurontin kaps 100 mg,Upjohn EESV,N02BF01
ID_3909635B-0F53-45AA-9C67-A4F4BF5366A9,"Xeomin pulv til inj væske, oppl 50 E","Merz Pharmaceuticals GmbH, Frankfurt, Tyskland",M03AX01
ID_3909BA24-F5B0-4D33-96A4-9B8441B84858,"Ketorolac trometamol S.A.L.F. inj, oppl 30 mg/ml",S.A.L.F S.p.A. Laboratorio Farmacologico,M01AB15
ID_3909DF19-2F10-49E2-B40E-A11176405344,Moventig tab 25 mg,Grünenthal GmbH,A06AH03
ID_390AECA8-8EB3-4E27-8A24-B4900614363F,"Physiotens tab 0,4 mg",2care4 ApS,C02AC05
ID_3913CF4E-7CF3-491B-8DD7-BC4B4BA63690,"Idarubicin Accord inj, oppl 5 mg/5 ml",Accord Healthcare B.V.,L01DB06
ID_39239E92-BF0C-46A7-AB6D-F8E0418CFC05,"Lionova inj/inf, oppl 2 mg/ml",Alternova,M03BX01
ID_392635D0-02CC-4029-B0C4-CB98EB7CBF30,"Advagraf depotkaps, hard 1 mg",Astellas Pharma Europe BV,L04AD02
ID_392884EB-7067-4EDD-A3E7-414C4FEF0088,Nycoplus Calcigran Forte tyggetab med spearmintsmak 500 mg/400 IE,Orifarm Healthcare A/S,A12AX
ID_392CADA8-218C-4BD5-BFF1-EDEE836BBBEC,Zelboraf tab 240 mg,Roche Registration GmbH,L01EC01
ID_3939660B-8CAC-4E93-9849-BB2F576562C6,"Olimel Perifer N4E inf, emul",Baxter Medical AB,B05BA10
ID_393B4EF8-EAE3-40B4-88A3-AD5D4DA058FB,Metoprolol-ratiopharm tab 50 mg,Ratiopharm GmbH,C07AB02
ID_394006FC-04F5-4922-B58D-05EA7DF80714,"Zoely tab 2,5 mg/1,5 mg",Theramex Ireland Limited,G03AA14
ID_39500932-B333-44F0-AFBF-40D555BEE56A,"Fenofibrat ethypharm depotkaps, hard 250 mg",Ethypharm,C10AB05
ID_395332F2-626F-4C3D-844E-112E6B75DEFB,Toilax enterotab 5 mg,Orion Corporation Orion Pharma,A06AB02
ID_3953500C-F2B8-48E4-97D3-EC0BE2C8ADEC,Atorvastatin Accord tab 80 mg,Accord Healthcare B.V.,C10AA05
ID_3956E4F4-33A2-4B4E-BA69-5AAAD296347C,"Candesartan/Hydrochlorothiazide Krka tab 16 mg/12,5 mg","KRKA, d.d. Novo mesto",C09DA06
ID_396CE26A-012A-4FCC-9D57-91E338FBA6BD,Solu-Medrol pulv+væske til inj/inf oppl 40 mg,Pfizer AS,H02AB04
ID_396EB619-8123-41EC-8635-9E103A1378A8,"Omnipaque inj, oppl 350 mg I/ml",GE Healthcare AS,V08AB02
ID_398A2168-A700-4680-A035-D2CE7B26AB5C,"Sufentanil hameln inj/inf, oppl 5 mikrog/ml",hameln pharma GmbH,N01AH03
ID_399DFF6E-EFB2-4CD9-BA8D-18FC44CB7F48,"Sifrol depottab 1,05 mg",Boehringer Ingelheim International GmbH,N04BC05
ID_39A667A5-BFF9-4A50-8DE3-EF5CD4E6235B,Prednisolon stada tab 5 mg,Stada,H02AB06
ID_39A87743-A9BE-4802-B286-AA99B6744F8E,"Papaverine renaudin inj, oppl 40 mg/ml",Laboratoire Renaudin,A03AD01
ID_39A995B9-6AF4-4F2A-AD7F-7DBB32E490E7,Myrratinktur NAF kons til gurglevann,Ås produksjonslab AS,A01AB11
ID_39B07C8E-F1BC-4679-8CEA-36424FDE61BF,Jinarc tab 60 mg,Otsuka Pharmaceutical Netherlands B.V.,C03XA01
ID_39CC0D4D-620A-45FC-BAE4-2C2682D5F73E,"Tysabri inj, oppl 150 mg/sprøyte",Biogen Netherlands B.V.,L04AG03
ID_39CE15D8-34C7-4F6B-8248-13770E53A62C,Litio carbonato lfm tab 300 mg,Laboratorio Farmacologico Milanese,N05AN01
ID_39D72904-50D1-46B2-910D-746598EADAC9,"Reminyl depotkaps, hard 16 mg",Orifarm AS,N06DA04
ID_39D99CDA-1642-4FCA-844B-BF454BCDE674,Tavlesse tab 150 mg,Instituto Grifols S.A,B02BX09
ID_39DAA65A-8983-43D8-8808-5CAAACFB027A,"Nexium pulv til inj/inf væske, oppl 40 mg",Grünenthal GmbH (1),A02BC05
ID_39E0FBE9-137C-4C8B-B9A1-EEC6E53D7DB5,Ixoten baxter tab 50 mg,Baxter,L01AA07
ID_39E196EA-D9CE-45D4-AD6B-6F484E0D3DCD,"Xarelto tab 2,5 mg",Bayer AG,B01AF01
ID_39E83C6F-C420-4668-BB97-FAAAA5113899,Budesonid Medical Valley kaps modif frisett 3 mg,Medical Valley Invest AB,A07EA06
ID_39F40254-105B-445A-9AA0-BA1006406714,"Bupivacaine Baxter inj, oppl 2,5 mg/ml",Baxter Holding B.V.,N01BB01
ID_3A0BE517-0071-40E1-BCDA-CC0845FE26BB,Atomoxetine Medical Valley  kaps 80 mg,Medical Valley Invest AB,N06BA09
ID_3A129E95-A7B1-4C7A-9BCE-B0F0AD56160A,"Lenalidomid Zentiva kaps 7,5 mg",Zentiva k.s.,L04AX04
ID_3A143F20-BE2F-4E14-AE0F-97431927F027,"Dutasteride/Tamsulosin Hexal kaps 0,5 mg/0,4 mg",Hexal A/S,G04CA52
ID_3A14F8A4-D5A5-4445-8A72-8E4297109740,"Virophta pulv+væske til øyedr oppl 0,05 g",Horus Pharma,S01AD02
ID_3A27D444-573E-456F-93A5-358720C85C68,"Ryeqo  tab 40 mg/1 mg/0,5 mg",Gedeon Richter Plc.,H01CC54
ID_3A28AA88-06D1-4BA7-BCF3-FF684BCA0B1D,Advate pulv+væske til inj oppl 250 IE,Takeda Manufacturing Austria AG,B02BD02
ID_3A2A6A8E-3C82-4F5D-BFF6-1DD88B51AC74,"Natriumklorid Baxter Viaflo inf, oppl 9 mg/ml",Baxter Medical AB,B05BB01
ID_3A37CD58-1AEB-4C57-BACC-35B12BBABA42,Alprolix pulv+væske til inj oppl 500 IU,Swedish Orphan Biovitrum International AB,B02BD04
ID_3A3990DD-CCED-4373-B823-B0FDEC107B8D,Grepid tab 75 mg,Pharmathen,B01AC04
ID_3A4AF281-6FDA-4D9C-9AA3-A1408F899349,"Kloramfenikol Minims øyedr, oppl 5 mg/ml",BAUSCH + LOMB IRELAND LIMITED,S01AA01
ID_3A4E461E-7491-46FD-84FB-C36C7E2149FE,Brexidol tab 20 mg,Chiesi Farmaceutici S.p.a.,M01AC01
ID_3A57FD9C-1570-4EC4-9842-0DC010EE3803,Solu-Medrol pulv+væske til inj/inf oppl 500 mg,Pfizer AS,H02AB04
ID_3A628957-4F54-476F-9BA7-0E4677593DE6,Dermestril depotplaster 50 mikrog/24 timer,BGP Products,G03CA03
ID_3A658D05-B901-4B74-AB85-1EAD11B92ABF,Tolvaptan Accord tab 30 mg,Accord Healthcare S.L.U.,C03XA01
ID_3A8CD705-0868-47B7-98AC-42C92E228B22,"Act Dextroamphetamine SR depotkaps, hard 10 mg",Teva,N06BA02
ID_3A98FBB1-2AB8-4553-9287-FC320C6E529F,"Venofer inj væske/kons til inf væske, oppl 20 mg/ml",Vifor France,B03AC
ID_3AA93A4E-A8BC-4DBB-82A8-E705DFCD0160,Stamaril pulv+væske til inj susp 1000 IE/dose,Sanofi Winthrop Industrie,J07BL01
ID_3AB28606-B21A-42A7-A033-29E18A50080E,"Arikayce Liposomal inh væske, disp 590 mg/dose",Insmed Netherlands B.V,J01GB06
ID_3ABDCB0C-0A70-448D-B0E9-BEDFA770BCB7,"Humira inj, oppl 40 mg/penn",AbbVie Deutschland GmbH & Co,L04AB04
ID_3AC26079-ED96-4593-A3E9-98367B62F296,"Kyntheum inj, oppl 210 mg/sprøyte",LEO PHARMA A/S (Danmark),L04AC12
